0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
"('館', 0.019512380985185127)","('秋田', 0.019164676255166116)","('場所', 0.016433215502103513)","('展示', 0.015166934020743109)","('建物', 0.014087163139364074)","('展望', 0.012327654821188902)","('景色', 0.01085421053337794)","('駐車', 0.010242238620050345)","('車', 0.009925774262751793)","('写真', 0.009386646459003438)","('公園', 0.009274789053278745)","('紅葉', 0.009182532077956825)","('見学', 0.00911425632018051)","('歴史', 0.008823680926079148)","('城', 0.008451362622738677)","('日本', 0.008263753728539438)","('男鹿半島', 0.008059349532504381)","('時代', 0.00802821180791581)","('千秋公園', 0.007724927154646576)","('男鹿', 0.00753851509122155)","('山', 0.007264399599053008)","('料', 0.0069301162766600985)","('無料', 0.006824579993676133)","('佐竹', 0.006711421477954003)","('施設', 0.006688342446678523)","('スポット', 0.006567488365505427)","('途中', 0.006472330758460795)","('神社', 0.006466421799366605)","('資料', 0.00645654932406646)","('散策', 0.006098045855061008)"
"('駅', 0.03409897971207177)","('観光', 0.03151164262779353)","('角館', 0.031230002625213568)","('屋敷', 0.026239165190949272)","('武家', 0.026020218858781967)","('通り', 0.023416043061212057)","('秋田', 0.020565808425054958)","('桜', 0.01694652382874669)","('沿い', 0.015885216282197044)","('国道', 0.014541702671005399)","('号', 0.01174834115478067)","('客', 0.0107476489613977)","('案内', 0.010373360639282177)","('時期', 0.009512295319040735)","('販売', 0.008853232335052679)","('新幹線', 0.008124733669386252)","('駅舎', 0.007617772692559882)","('中心', 0.007308207159836358)","('多い', 0.007232431122801415)","('駐車', 0.007083550892705352)","('青森', 0.007032295558928874)","('列車', 0.006956870877373862)","('大館', 0.006501902702601756)","('駅前', 0.006433400209696445)","('途中', 0.006307244628178109)","('東北', 0.006276688708626057)","('スペース', 0.006085413250023375)","('周辺', 0.005972925005038075)","('地元', 0.0058862886807154475)","('鉄道', 0.005678003251034635)"
"('温泉', 0.054513015847977624)","('食事', 0.02330762774088447)","('湯', 0.021937120128659303)","('風呂', 0.02037243774430339)","('宿', 0.019571825480201015)","('露天風呂', 0.018689782792917452)","('部屋', 0.015687886499512495)","('宿泊', 0.014266411090191384)","('良かっ', 0.012374432755411488)","('乳頭', 0.011952070876934695)","('お湯', 0.011349426626895765)","('夕食', 0.011011518290394269)","('満足', 0.009272847370360611)","('利用', 0.009135542131652923)","('雰囲気', 0.009096686711229414)","('良い', 0.009066518796495287)","('入浴', 0.008816932515862025)","('日帰り', 0.008582861924229426)","('温泉郷', 0.008348075678280373)","('泉', 0.008278448153666514)","('料理', 0.008179304910591406)","('最高', 0.008137864825769205)","('質', 0.007358174630550426)","('源泉', 0.007094098637313813)","('女性', 0.007055932237026872)","('予約', 0.006799914991920587)","('浴場', 0.006665612890426424)","('雪', 0.0064680956795366805)","('秘', 0.006337186504840494)","('混浴', 0.006285206106496659)"
"('ホテル', 0.041612876011651784)","('秋田', 0.03994962209688584)","('駅', 0.039423067139865084)","('利用', 0.028266716532448603)","('部屋', 0.020730504515015055)","('便利', 0.017750483307345053)","('朝食', 0.016618762542616138)","('街', 0.014917410624588928)","('徒歩', 0.014649930158486563)","('階', 0.014076742558822958)","('バス', 0.012463025621093)","('良い', 0.011726177633019102)","('無料', 0.010478936787703211)","('清潔', 0.010267187591223944)","('宿泊', 0.009136076339137347)","('ビジネス', 0.008968662913572263)","('市内', 0.008495686672411684)","('広く', 0.008486077574399776)","('場所', 0.008401568617524158)","('アクセス', 0.007736524545819332)","('駐車', 0.007731108731728273)","('施設', 0.007647344638611239)","('コンビニ', 0.007568207441849159)","('対応', 0.007508923453949369)","('料金', 0.007439952202826959)","('快適', 0.007202496239527747)","('飲食', 0.0066150931976103385)","('サービス', 0.006492562168009274)","('綺麗', 0.006062652629433518)","('フロント', 0.006032709446041801)"
"('秋田', 0.02939700693073179)","('味', 0.022568411902536004)","('田沢湖', 0.016269999943555016)","('料理', 0.015572657112249635)","('美味しい', 0.014622573671680477)","('土産', 0.014577712578549265)","('メニュー', 0.014486741174825384)","('稲庭', 0.012190245809024948)","('像', 0.011573899923176567)","('湖', 0.011371938461507554)","('レストラン', 0.011174436878312235)","('美味しかっ', 0.010809323591608232)","('名物', 0.010755787523107692)","('店内', 0.010687940326611998)","('鶏', 0.009982957058409988)","('注文', 0.009546233283843093)","('セット', 0.009115219876710554)","('雰囲気', 0.008804292185079523)","('地元', 0.008409566460933587)","('ラーメン', 0.008388202096841846)","('有名', 0.0079881224631175)","('種類', 0.007912105195543999)","('丼', 0.007757382071072766)","('酒', 0.007498777897697804)","('十和田湖', 0.007195624481442488)","('横手', 0.006999715439964096)","('テーブル', 0.006914323613682667)","('野菜', 0.006561727927803181)","('郷土', 0.006540326402508397)","('豊富', 0.006405486564805333)"
